dot0_x,dot0_y,dot0_radius,dot1_x,dot1_y,dot1_radius,dot2_x,dot2_y,dot2_radius,dot3_x,dot3_y,dot3_radius,dot4_x,dot4_y,dot4_radius
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
-0.466,1.739,0.2,-0.173,1.792,0.2,0.125,1.796,0.2,0.419,1.75,0.2,0.702,1.657,0.2
